Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2001-01-14,222.5,222.5,220.00833333333333,211.10833333333332,3.32,0.5279166,0.0,8.400001,12.0
2001-01-15,222.5,222.5,220.425,211.32222222222222,6.03,-0.93250006,8430.103,0.0,0.0
2001-01-16,218.5,221.92857142857142,220.70833333333334,211.50555555555556,6.08,-6.4366665,6615.217,0.0,0.0
2001-01-17,216.25,221.03571428571428,220.73333333333332,211.65277777777777,7.32,-8.872084,19172.104,0.0,0.0
2001-01-18,218.75,220.5,220.84166666666667,211.82777777777778,8.25,-4.9012494,27747.29,0.0,0.0
2001-01-19,218.5,219.92857142857142,220.94166666666666,212.0,7.59,-11.542918,16675.031,0.0,0.0
2001-01-20,218.5,219.35714285714286,220.95833333333334,212.17222222222222,11.11,-16.124166,30993.621,0.0,0.0
2001-01-21,218.5,218.78571428571428,220.975,212.36944444444444,11.02,-11.2825,31119.88,0.0,0.0
2001-01-22,214.5,217.64285714285714,220.85833333333332,212.5222222222222,10.57,-10.195001,31248.895,0.0,0.0
2001-01-23,216.5,217.35714285714286,220.80833333333334,212.7111111111111,11.03,-3.0575,31380.445,0.0,0.0
2001-01-24,214.25,217.07142857142858,220.68333333333334,212.89166666666668,6.48,-7.861667,9445.049,0.0,0.0
2001-01-25,214.5,216.46428571428572,220.5,213.09444444444443,10.97,-12.232501,30122.885,0.0,0.0
2001-01-26,214.0,215.82142857142858,220.29166666666666,213.29166666666666,4.61,-3.5554168,1090.3821,3.8999999,12.0
2001-01-27,214.0,215.17857142857142,220.05833333333334,213.48888888888888,11.62,-9.057502,31928.195,0.0,0.0
2001-01-28,214.0,214.53571428571428,219.775,213.6888888888889,5.45,-6.692917,0.0,1.8000001,4.0
2001-01-29,208.75,213.71428571428572,219.31666666666666,213.83055555555555,1.48,-0.95124984,0.0,22.3,17.0
2001-01-30,208.75,212.60714285714286,218.85833333333332,213.97222222222223,8.24,-0.4075,22998.906,1.7,3.0
2001-01-31,208.5,211.78571428571428,218.39166666666668,214.04166666666666,10.54,-2.7179167,28804.309,0.0,0.0
2001-02-01,208.5,210.92857142857142,217.925,214.11111111111111,10.65,-11.205418,23412.746,1.3,3.0
2001-02-02,211.5,210.57142857142858,217.55833333333334,214.2138888888889,9.0,-21.17,18208.252,0.5,3.0
